g,c,b,e
LOC100240734,12,54495992,54496483
LOC400043,12,54519854,54526626
FLJ12825,12,54452037,54516018
PWRN1,15,24803303,24832926
FAM99A,11,1686828,1689086
FAM99B,11,1704499,1706859
C5orf47,5,173416161,173433143
CDCA2,8,25316512,25365425
POF1B,X,84532394,84634748
GRHL2,8,102504667,102681952
HSPA12A,10,118430702,118502085
GRIN2B,12,13714409,14133022
GHRHR,7,31003635,31019146
TSPAN19,12,85408093,85430055
WNK4,17,40932648,40949084
TUBB6,18,12308256,12326568
FAXDC2,5,154198051,154230213
KRTAP9-8,17,39394269,39395256
COG8,16,69362523,69373526
POPDC2,3,119360907,119379404
GAL3ST2,2,242716239,242743702
MCCC2,5,70883114,70954530
GIPR,19,46171501,46185717
SLAMF1,1,160579890,160617081
METTL7A,12,51318533,51326300
IARS2,1,220267454,220321383
MIR3922,12,104985410,104985494
MIR3918,6,159185692,159185785
CHRNA2,8,27317277,27336813
CTNNAL1,9,111704850,111775764
HIST1H2BO,6,27861202,27861669
CAPN5,11,76777991,76837198
MAP3K14,17,43340487,43394414
GAK,4,843064,926174
CRYBA1,17,27573874,27581502
PLK1,16,23690200,23701688
DLX6,7,96635289,96640352
DNAJC4,11,63997752,64001753
GMFG,19,39818998,39826726
BPI,20,36932551,36965905
SERPINA6,14,94770584,94789688
DLAT,11,111895537,111935002
FPR3,19,52298410,52329334
CFD,19,859664,863610
FNTB,14,65453506,65529370
CAT,11,34460471,34493607
CAMK4,5,110559946,110820748
C5,9,123714613,123812554
DEFA6,8,6782215,6783598
DEFA4,8,6793344,6795786
GNAQ,9,80335190,80646219
DDB1,11,61066918,61100684
SPAG5,17,26904582,26926056
HTR3C,3,183770834,183778461
DHTKD1,10,12110915,12165227
ELANE,19,852290,856246
RAD18,3,8918879,9005159
SEMA3G,3,52467267,52479043
NINL,20,25433337,25566153
ELL3,15,44064797,44069502
SIK3,11,116714117,116968993
TSPAN11,12,31079837,31149537
PAFAH2,1,26286257,26324648
OXCT1,5,41730166,41870791
BTG1,12,92534053,92539673
BTC,4,75671447,75719882
COX4I2,20,30225690,30232800
FAM71F1,7,128355442,128371797
MYO18B,22,26138119,26427007
MAP2K2,19,4090319,4124126
CAPS2,12,75669758,75723836
PPP1R9B,17,48211100,48227877
ABHD1,2,27346656,27353680
INSM2,14,36003247,36006260
HINT2,9,35812956,35815042
LOXL3,2,74759945,74781062
GJA10,6,90604187,90605819
MCEE,2,71336805,71357394
SNORD115-38,15,25484984,25485066
SNORD115-37,15,25483132,25483214
C1orf191,1,54702115,54704736
SNORD45C,1,76252756,76252834
TSPYL4,6,116571130,116575261
TUBG1,17,40761357,40767256
MLNR,13,49794473,49796513
CD1C,1,158259562,158264564
CD1A,1,158223926,158228058
CCNF,16,2479394,2508859
EAPP,14,34985134,35008943
C11orf34,11,112118875,112131583
LOC284837,21,45225638,45232448
FLJ34503,6,114225550,114242806
LINC00319,21,44869903,44873771
LINC00338,17,75084724,75091068
LINC00494,20,46988653,46999381
LOC284688,1,170240545,170253349
LINC00663,19,19867180,19887222
LINC00284,13,44596470,44604599
FAM41C,1,803450,812182
MIR31HG,9,21454266,21559697
LINC00324,17,8123947,8127361
LINC00277,15,69373189,69388163
ZNF788,19,12203077,12225494
LOC283922,16,74366303,74402153
LOC283332,12,50302665,50305646
C1RL-AS1,12,7260903,7274447
LOC145474,14,71954577,71956420
LINC00301,11,60383223,60454621
LOC257358,5,169758434,169762104
C1orf200,1,9712667,9714644
LOC440040,11,49580079,49831969
LOC642852,21,46707966,46717269
MDS2,1,23953823,23967056
LINC00410,13,91543207,91578851
PPIH,1,43124047,43142429
SLC30A9,4,41992522,42089551
CRIPT,2,46844324,46852881
CHMP4A,14,24678786,24683036
METTL5,2,170668267,170681353
NDUFAF4,6,97337186,97345767
MRPL18,6,160211491,160219461
S100A1,1,153600872,153604513
MAN1A2,1,117910084,118068320
GLO1,6,38643701,38670952
GPAT2,2,96687693,96700727
CDPF1,22,46639909,46646193
C2CD4A,15,62359175,62363116
C10orf129,10,96953956,96988686
OTUD6A,X,69282340,69284029
FAM199X,X,103411155,103440582
ZNF474,5,121465214,121489266
TMEM207,3,190146443,190167665
TMEM132E,17,32907767,32966337
RGS9BP,19,33166312,33169206
KLHL8,4,88082213,88141674
VAMP3,1,7831328,7841492
HEXIM1,17,43224683,43229468
NPC2,14,74946642,74960084
RAPGEF5,7,22157907,22396533
PXDN,2,1635658,1748291
LPHN2,1,82266081,82458107
HSH2D,19,16244837,16269377
DMRTA2,1,50883222,50889119
TEX13A,X,104463610,104465358
NUDT18,8,21964382,21966932
TPSB2,16,1278335,1280185
AIDA,1,222841354,222885864
ST14,11,130029681,130080257
EFCAB9,5,171621175,171630458
DISP1,1,222988430,223179337
ARHGEF16,1,3371146,3397677
POLB,8,42195972,42229331
HIST3H2A,1,228645064,228645560
ALOX12P2,17,6756894,6803668
DLEU2,13,50556687,50699677
SNORD87,8,67834708,67834784
SLC7A5P1,16,29624423,29625038
AGBL4,1,48998526,50489626
HAVCR2,5,156512842,156536248
SCNN1G,16,23194039,23228200
PIEZO1,16,88781745,88851372
MIR548AA1,1,100154610,100178513
POTEKP,2,132354346,132366974
NUP160,11,47799669,47870057
DCUN1D5,11,102921412,102962944
TIMM50,19,39971051,39981528
ZGLP1,19,10415478,10420233
ZNF816-ZNF321P,19,53430387,53466164
MIR5702,2,227523425,227523509
LCA5L,21,40777769,40816128
C20orf196,20,5731042,5844559
LOC100996251,1,113554308,113615724
OR6A2,11,6815755,6817139
C11orf16,11,8941622,8954553
OR4F17,19,110678,111596
GLYATL3,6,49467670,49495777
C12orf29,12,88429267,88443937
FBXW9,19,12799729,12807455
SGIP1,1,66999824,67210768
ZNF595,4,53226,88099
MMP17,12,132312940,132336316
RAB4B,19,41284123,41302849
ARAP2,4,36067619,36245979
SHANK1,19,51165083,51220195
MIR1306,22,20073580,20073665
MIR1283-2,19,54261485,54261572
MIR1538,16,69599710,69599771
MIR664,1,220373883,220373961
MIR1282,15,44085856,44085957
MIR1281,22,41488516,41488570
MIR1279,12,69666936,69666998
MIR1278,1,193105632,193105713
MIR548I3,8,7946462,7946611
MCUR1,6,13786780,13814792
RBM44,2,238707387,238751451
CHD9,16,53088944,53361414
TMEM229A,7,123670969,123673523
KRBA2,17,8271972,8274858
SLC16A12,10,91190050,91295313
FOXN4,12,109715782,109747025
VTRNA1-3,5,140105743,140105831
PRIM1,12,57125363,57146146
PURA,5,139493707,139499001
TAF1L,9,32629451,32635667
TEDDM1,1,182367251,182369751
COMMD4,15,75628373,75632614
MOSPD1,X,134021661,134049297
ADCY2,5,7396342,7830194
NR2E1,6,108487214,108510013
FAM27E3,9,67784943,67786625
PTPN9,15,75759461,75871625
UPF1,19,18942743,18979039
VTRNA1-2,5,140098510,140098598
ZNF487P,10,43932573,43978007
LINC00035,7,73149398,73150330
HPYR1,8,133572744,133573726
XAGE5,X,52841227,52847322
CAND1.11,11,10329859,10452220
S100Z,5,76145825,76217056
FABP12,8,82437280,82443550
SMARCD2,17,61909440,61920351
BTAF1,10,93683735,93790080
SNORA77,1,203698708,203698833
SCARNA9L,X,20154183,20154531
SPTSSB,3,161062579,161089871
C19orf77,19,3474404,3480540
ANO9,11,417929,442011
MPPED1,22,43808019,43902800
MZT1,13,73282494,73301938
IL1B,2,113587336,113594356
EFNA5,5,106712589,107006596
GCLM,1,94352589,94375012
EEF2,19,3976053,3985461
TSPY2,Y,6114263,6117053
CCDC169-SOHLH2,13,36742344,36871992
RPL22,1,6245079,6259679
PPIC,5,122359077,122372425
RPL21,13,27825691,27830702
CA5A,16,87921624,87970112
C9,5,39284377,39364655
FBL,19,40325092,40337054
EPAS1,2,46524540,46613842
EP300,22,41488613,41576081
ZXDA,X,57931863,57937067
KRT4,12,53200326,53207900
IPO5,13,98605928,98676550
GLIPR1L1,12,75728462,75764169
CHST13,3,126243130,126262134
COL22A1,8,139600477,139926236
KRTAP4-8,17,39253233,39254375
UST,6,149068270,149398126
PRDX2,19,12907633,12912724
H1F0,22,38201113,38203443
COL5A2,2,189896640,190044605
AQP5,12,50355278,50359465
CSNK2A2,16,58191811,58231782
HSD3BP4,1,120106502,120115199
ECEL1,2,233344536,233352532
DLG5-AS1,10,79686569,79689583
PFN1P2,1,144610814,144612727
SLC36A1,5,150827162,150871940
DLGAP1-AS4,18,3962352,4013943
LAMTOR5-AS1,1,110950430,110958896
SULT1C3,2,108863650,108881807
TMCO2,1,40713572,40717365
C6orf226,6,42858002,42858554
LURAP1,1,46669005,46686928
AWAT1,X,69454504,69460511
CCDC54,3,107096187,107097481
GABPB2,1,151043079,151091007
HSPB6,19,36245466,36247930
JSRP1,19,2252249,2256422
COX6B2,19,55861069,55866182
HEXIM2,17,43238263,43247406
LRRC28,15,99791651,99926498
CYB5D1,17,7761063,7765600
TAS2R5,7,141490016,141491166
DARS,2,136664253,136743222
EPO,7,100318422,100321323
TCN1,11,59620280,59634041
COL4A2,13,110959630,111165373
GFER,16,2034149,2037750
OR2D3,11,6942232,6943225
OR2AG1,11,6806247,6807245
OR2A25,7,143771312,143772245
ZACN,17,74075262,74078885
PDIA3P,1,146649429,146651528
EZR-AS1,6,159239010,159243272
OSGEPL1-AS1,2,190627505,190630282
CDC42P3,8,144077244,144079080
MOS,8,57025500,57026541
UBL4A,X,153712055,153714932
WNT3A,1,228194722,228248972
MYL12A,18,3247527,3256234
TRIM16,17,15531279,15586193
IVNS1ABP,1,185265521,185286461
PIK3C2A,11,17108123,17191354
TNFSF18,1,173010359,173020103
HIST2H2BC,1,149821758,149822340
METTL24,6,110567148,110679475
REN,1,204123943,204135465
ADAMTS10,19,8645125,8675588
ADAMTS12,5,33527286,33892124
KBTBD6,13,41701708,41706936
CTRB1,16,75252883,75258822
CASQ1,1,160160284,160171676
TF,3,133464976,133497850
BHLHA9,17,1173857,1174565
FAM159B,5,63986134,64014017
MBD3L3,19,7056215,7058645
PRR22,19,5782970,5784776
SMIM20,4,25915813,25931501
MIR106B,7,99691615,99691697
MIR650,22,23165269,23165365
MIR371A,19,54290928,54290995
MIR130B,22,22007592,22007674
MIR301A,17,57228496,57228582
MIR34C,11,111384163,111384240
MIR34B,11,111383662,111383746
MIR219-2,9,131154896,131154993
MIR302A,4,113569338,113569407
MIR1296,10,65132716,65132808
MIR320C1,18,19263470,19263558
MIR20B,X,133303838,133303907
MIR424,X,133680643,133680741
MAATS1,3,119421868,119485949
SPARC,5,151040656,151066615
AMY2A,1,104159998,104168400
TBK1,12,64845839,64895899
KIAA0247,14,70078309,70181861
GATM,15,45653321,45670980
FKBP3,14,45584801,45603732
NDUFA10,2,240896788,240964819
XCL1,1,168545710,168551315
SNRPF,12,96252708,96260238
SNAI2,8,49830238,49833999
CXCL6,4,74702272,74704477
GPC6,13,93879077,95060273
SCAMP2,15,75137196,75165670
PDCD7,15,65409716,65426174
TSSC4,11,2423522,2425106
MTRNR2L10,X,55207823,55208944
PRPF4B,6,4021568,4065217
NPIPB5,16,22524843,22547841
CEL,9,135937364,135947250
CDH11,16,64980682,65155919
CDH8,16,61685914,62070739
FAM227A,22,38974124,39052634
CNOT6L,4,78634540,78740544
HN1L,16,1728277,1752073
ZC3H18,16,88636788,88698372
GTSF1,12,54849735,54867386
RHEBL1,12,49458467,49463775
RAD52,12,1021254,1058863
C16orf78,16,49407807,49433319
FOPNL,16,15959576,15982447
COMTD1,10,76993728,76995770
ANKRD22,10,90579658,90611732
BTBD16,10,124030820,124097676
ATP1B3,3,141595469,141645382
NDUFA3,19,54606159,54610281
NDUFA1,X,119005733,119010629
SPATA31D5P,9,84528351,84534842
WHAMM,15,83477972,83503613
LMTK3,19,48988527,49016446
ZNF705B,8,7783858,7809935
ACKR6,17,6354582,6459877
TRABD2B,1,48226199,48462562
TEX22,14,105864919,105880196
C19orf81,19,51152701,51162567
SPRR2A,1,153028595,153029988
ACBD3,1,226332379,226374423
PTCHD2,1,11539294,11597640
NOM1,7,156742416,156765876
POM121L4P,22,21043842,21046009
SNORD115-42,15,25492491,25492573
SNORD115-41,15,25490624,25490706
LOC100131496,20,45947245,45949498
LOC100216545,7,104650988,104654588
POM121L8P,22,21636713,21652015
OR2C3,1,247693433,247697141
MTOR-AS1,1,11203954,11209595
LOC100130238,12,132851976,132857486
NUP43,6,150045456,150067688
KRTAP6-2,21,31971004,31971193
KRTAP6-1,21,31986004,31986223
ARHGEF38-IT1,4,106482747,106491392
RNF216-IT1,7,5702062,5720092
MLIP-IT1,6,53863687,53871950
RPS6KA2-IT1,6,166874150,166878871
DQX1,2,74745257,74753408
HELQ,4,84328498,84377025
SPACA4,19,49109999,49110971
KCNV2,9,2717525,2730037
NEK7,1,198126107,198291548
ACER1,19,6306509,6333640
PCDHB1,5,140430960,140433547
PCDHB5,5,140514787,140517709
PCDHB16,5,140561264,140565796
SAT2,17,7529555,7531194
SLC26A10,12,58013692,58019934
XDH,2,31557187,31637611
ALPK2,18,56148481,56296189
TNFRSF13C,22,42321035,42322821
TMEM203,9,140098534,140100090
HTRA3,4,8271488,8308838
RBM33,7,155437202,155574179
FAM46B,1,27331510,27339333
PGA4,11,60989820,60999179
PGA3,11,60970983,60980350
TYW1,7,66461791,66704507
RNF144B,6,18387580,18469105
ZBTB8B,1,32930657,32953459
CT47B1,X,120006451,120009779
MAGEA10-MAGEA5,X,151282520,151307050
SYCE1L,16,77233348,77246976
F12,5,176829138,176836577
PHGDH,1,120254418,120286849
BTN1A1,6,26501494,26510652
OTOP1,4,4190529,4228621
PTTG1,5,159848864,159855746
MIR204,9,73424890,73425000
MIR203,14,104583741,104583851
MAPK12,22,50691330,50700089
C6orf57,6,71276624,71298606
NUDCD2,5,162880585,162887143
CCDC127,5,204874,218297
SPATA18,4,52917592,52963458
OSR1,2,19551245,19558372
CCSAP,1,229456751,229478688
LRRC25,19,18501953,18508415
TMEM170A,16,75480922,75498584
UBALD1,16,4658883,4664927
ZG16B,16,2880172,2882285
RNASE11,14,21051051,21058417
SPACA7,13,113030650,113089009
FRA10AC1,10,95427639,95462329
DDIT4L,4,101107026,101111655
OMA1,1,58946390,59012446
ZSCAN20,1,33938231,33961995
B3GNT7,2,232260334,232265875
FANK1,10,127585107,127698161
EFCAB11,14,90263468,90421089
TRIM11,1,228581376,228594517
CYCSP52,1,157098153,157098463
ZNF787,19,56598731,56632649
TRIM64,11,89701671,89707240
QSER1,11,32914791,33001814
MTHFD2L,4,75023828,75168814
SAMD5,6,147829827,147891157
ZNF98,19,22573898,22605148
CLDN22,4,184239219,184241927
CCDC153,11,119060962,119066584
MNDA,1,158801167,158819270
FZD1,7,90893782,90898132
SDR16C6P,8,57287276,57303269
ZNF490,19,12686919,12721623
ZNF512B,20,62588056,62601223
LRRC47,1,3696783,3713068
GATAD2B,1,153777202,153895451
SUMO1P3,1,160287054,160288260
LYL1,19,13209841,13213974
CD180,5,66478103,66492617
LPA,6,160952514,161087407
CDC42BPB,14,103398715,103523742
MLLT1,19,6210391,6279959
LIPG,18,47088426,47119278
CPNE6,14,24540755,24547296
MIPEP,13,24304327,24463587
PCNT,21,47744035,47865682
HMP19,5,173472606,173536182
DNAJC16,1,15853351,15898228
VPS39,15,42450898,42500502
YIF1A,11,66052050,66056638
BCDIN3D,12,50229825,50236912
C17orf64,17,58499864,58508787
DNAJC24,11,31391376,31454382
PKD1L3,16,71963440,72033877
BAGE4,21,11020841,11098925
CTGLF12P,10,49218158,49239658
QSOX2,9,139098181,139137687
KRTAP10-10,21,46057272,46058372
KRTAP12-1,21,46101490,46102078
KRTAP12-2,21,46086105,46086844
GFRAL,6,55192266,55267291
MIR658,22,38240278,38240378
TOLLIP-AS1,11,1330937,1331937
LOC439994,10,89102167,89103331
MIR549,15,81134318,81134414
MIR655,14,101515886,101515983
MIR654,14,101506555,101506636
MIR548F5,13,36048405,36515382
MIR548F4,7,147075108,147075213
MIR548F3,7,147592370,147797648
SHANK3,22,51113069,51171640
SEC14L6,22,30920916,30942669
PNLIPRP1,10,118350489,118368686
PNOC,8,28174648,28200868
PLCL1,2,198669425,199014608
PITPNA,17,1421282,1466110
MIRLET7A1,9,96938238,96938318
S1PR4,19,3178735,3180330
ANP32C,4,165118158,165118863
CDK3,17,73996986,74002080
TYMS,18,657603,673499
TOP2B,3,25639395,25705863
NDST3,4,118955499,119179789
SPATA12,3,57094468,57109460
ANKRD37,4,186317839,186321390
METTL2A,17,60501245,60527454
ACO2,22,41865128,41924993
MIR2054,4,126428413,126428462
GABRB1,4,47033294,47428447
GABRA6,5,161112657,161129598
SNORD81,1,173833312,173833355
SNORD80,1,173833970,173834041
SNORD79,1,173834487,173834568
SNORD78,1,173834770,173834824
SNORD44,1,173835105,173835166
SNORD77,1,173835448,173835509
SNORD76,1,173835772,173835853
SNORD74,1,173836811,173836883
MYSM1,1,59120410,59165747
MAP1LC3B2,12,116997185,117014425
FAM162B,6,117073359,117086886
BTG2,1,203274663,203278729
RBP4,10,95351592,95360993
SCARNA3,1,175937532,175937676
GSAP,7,76940067,77045717
C9orf91,9,117373705,117408703
C14orf142,14,93669236,93673459
TSPAN32,11,2323242,2339430
MAPK15,8,144798506,144804633
SCD,10,102106771,102124588
VPS33B,15,91541773,91565833
TMEM45A,3,100211462,100296285
PRPF40A,2,153508106,153573975
FAM3D,3,58619669,58652561
MTG1,10,135207620,135234174
DOT1L,19,2164147,2232577
SPANXE,X,140785567,140786655
SPESP1,15,69222838,69239150
GSX1,13,28366779,28368089
WFDC5,20,43738092,43743813
SCGB1C1,11,193079,194573
EBLN1,10,22497742,22498912
TSGA10IP,11,65713114,65727434
SNX32,11,65601409,65621172
RICTOR,5,38938021,39074501
OR10AG1,11,55735033,55735939
OR5B17,11,58125597,58126542
SPIN1,9,91003296,91093622
IL17REL,22,50432941,50451055
C6orf165,6,88117689,88174191
MBD3L5,19,7030593,7033022
SLC22A24,11,62847411,62911693
FOXJ1,17,74132414,74137380
SSR2,1,155978838,155990758
